FAMILY	SPECIES	DESCRIPTION
"Family DIFFLUGIIDAE Wallich, 1864 "	"Pontigulasia RHUMBLER, 1895, "	"1568b, p. 105 [P. compressa RHUMBLER, 1905; SD LOEBLICH & TAPPAN, herein, =P. rhumbleri HOPKINSON in CASH & HOPKINSON, 1909, 0 301, p. 162 (non Diff/ugia compressa CARTER, 1864, *288, p. 22, =Pontigulasia compressa (CARTER) CASH & HoP.KINsoN, 1909, ""301, p. 62)]. Like Difflugia but with constriction forming neck and internal trans.verse diaphragm at position of constriction, with perforations for extrusion of pseudopodia around or through internal diaphragm; test 120-170µ in length; nucleus single; pseudopodia lobose. [On moss, in lakes.] Eoc. (""1984, p. 334), Rec., Eu..N.Am.-S.Am.-Afr.--FIG. 17,J. *P. rhumbleri HoPKINSON, Rec., Ger.; la,b, lat., apert. views, X 144; le, long. sec. showing internal diaphragm, X238 (*1568b). Prantlitina VAsifaK & RuZicKA, 1957, 0 1984, p. 334 [ ´ P. prantli; OD J [ =Prantlitina ( Prantliti.nopsis) VAsifaK & RuZilKA, 1957, 0 1984, p. 337 (type, P. ( Prantlitinopsis) sturi)]. Test ovate, flattened, agglutinated (length, 0.31-0.65 mm.), probably on pseudochitinous base as deformation is common, thick-walled, inner cavity of test simple; aperture simple, elongate, terminal slit. [Fresh-water deposits.] U.Carb.(Namur.), Eu. (Czech.).--FIG. 13,7. P. sturi VAsifaK & Ruz.IcKA; 7a,b, lat., apert. views, X70 ( 0 1984). --FIG. 13,8. *P. prantli; 8a,b, lat., apert. views, x 70 (0 1984). Protocucurbitella GAUTHIER-LIEVRE & THOMAS, 1960, *775, p. 593 [*P. coroniformis; OD]. Test 200-230µ in length, similar in appearance to Loboforamina but with slight constriction below lobate aperture similar to diaphragm of Cucurbi.tella, broad opening in irregular diaphragm. (Marshes and swamps.] Rec., Afr.-Madag.-.FIG. 16,2. *P. coroniformis, Afr.; 2a,b, lat., apert. views, X 170; 2c, detail of aperture, X380 ( 0 775). Pseudopontigulasia VAN OYE, 1956, 0 1977, p, 347 [""P. gessneri; OD(M)]. Similar to Loboforamina but with numerous projecting toothlike infold.ings of pseudochitinous apertural margin rather than infolding of entire margin into few large lobes; about 60µ in length. [Fresh water.] Rec., S.Am.--FIG. 17,2. *P. gessneri, Venez.; 2a,b, side and oblique views showing a pert. teeth; approx. X550 (*1977).   80   Sexangularia AvERINTsEv, parvula ; OD(M)). T est  0.18 mm.), lagenoid in section; wall chitinoid, 1906, 0 59, p. 163 [""S. elongate (length 0.12‡ outline, hexagonal in with rare agglutinated  material ; pseudopodia short and !abase; proto.plasm attached to interior by strands of ecto.plasm. [Fresh water.] Rec., Eu.--FrG. 13,9. ´s. parvula ; 9a,b, side view showing protoplasm and transv. sec. of test, X 275 (0 59).  "
"Family CRYPTODIFFLUGIIDAE Jung, 1942 "	"Cryptodifflugia PENARD, 1890, "	"0 1433, p. 168 [""C. oviformis; OD(M)) [=Geococcus FRANcE, 1913, 0 737, p. 28 (type, G. zm lgaris FRA NCE, 1913) (non Geococcus GREEN, 1902)). Test chitinoid, ovoid, tiny, 15-18µ in maximum diameter, round in section; small rounded aperture at slightly narrowed end which may have internal ridge at its margin, producing invaginated appearance; protoplasm clear, filling test or lea,‡ing gap at aboral end; nucleus rounded, clear: single con‡ tractile vacuole; few pseudopodia. narrow an<l elongate. [Fresh water and soil. ) Pleist.‡Rec., Eu. --FrG. 18, 1-4 . ´c. oviformis, Rec., Ger.; I,   2b  empty test; 2a,b, individual showing pseudopodia and contractile vacuole, same 5 minutes later; 3, specimen with detritus in apert. region; 4a,b, specimens showing contractile vacuole, elongate pseudopodia, and nucleus with dark, round nu.cleolus; all approx. X600 ( 0 1433).--Fic. 18,5.  C. vulgaris (FRANcE), Rec., Ger.; 5a, photomicro.graph; 5b,c, encysted individuals; 5d, beginning of pseudopodia! extrusion; all X400 (*737).  "
"Family CRYPTODIFFLUGIIDAE Jung, 1942 "	"Difflugiella CASH, 1904, "	"*299, p. 218, 224 [*D. apiculata; OD]. Test up to 40µ in length, ovoid, circular in section, pseudochitinous, flexible, trans.parent; protoplasm colorless, granular; with 2 or 3 vacuoles and inconspicuous nucleus; pseudopodia of 2 kinds, active lobular or digitate ones with short, acute apiculate terminations protruding cen.trally from aperture, other pseudopodia longer, narrower, tapering, projecting from each side and showing less tendency to alteration. [Fresh water.] Rec., Eu.--F1c. 18,6. *D. apiculata, Eng.; side view, X500 (*299).  "
"Family CRYPTODIFFLUGIIDAE Jung, 1942 "	"Petalopella 	LOEBLICH & TAPPAN, 1961, "	"*1181, p. 216 [*Peta/opus diffluens CLAPAREDE & LAcH.MANN, 1859, 0 345, p. 442; OD] [=Peta/opus CLAPAREDE & LACHMANN, 1859, *345, p. 442 (obj.), (non KIRBY & SPENCE, 1828, nee MoT.SCHOULSKY, 1845)]. Test ?membranous, ovoid, region of pseudopodia! origin truncate; nucleus not observed; pseudopodia variable, may have single pseudopod which ramifies into many branches, or number of thickened pseudopodia spreading and flabelliform or clavate at their extremities and retractable into body. [Known only from the original description, the nominal genus (a homonym) was renamed, since the pseudopodia! character differentiates it from other described genera.] [Fresh water.] Rec., Eu.-.F1c. 18,7. *P. diffluens (CLAPAREDE & LACH.MANN), Ger.; 7a-c, views showing different pseu.dopodia! characters, approx. X300 (*345).  "
"Family CRYPTODIFFLUGIIDAE Jung, 1942 "	"Wailesella DEFLANDRE, 1928, "	"*570, p. 37 [*Cryp.todifflugia eboracensis WAILES in WAILES & PENARD, 1911, 0 2031, p. 24; OD]. Test small, (length, 28-28µ), transparent, smooth, chitinoid, elongate ovate, slightly compressed; aperture cir.cular, placed somewhat obliquely in relation to the longitudinal axis; protoplasm colorless, gran.ular; single nucleus with large nucleolus,1-2  contractile vacuoles; pseudopodia few, short, pointed or digitate. [On sphagnum.) Rec. Eu..E.USA.-Alaska-Can.--FIG. 18,8. ´w. ebora.censis (WAILES), Ire.; Ba, oblique view of living specimen; 8b,c, apert. and side views, X 1,300 (*2031).    "
"Family PHRYGANELLIDAE Jung, 1942 "	"Phryganella PENARD, 1902, "	"*1435, p. 418 [*P. nidulus PENARD, 1902; SD LOEBLICH & TAPPAN, herein) [=Phryanella NEAVE, 1940, *1348c, p. 733 (nom. null.); =?Geopyxella BoNNET & THOMAS, 1955, * 171, p. 419 (type, G. sylvicola)]. Similar to Difflugia, 0.16-0.22 mm. in length, but with pseudopodia varying from broad lobate ex.   pansions to narrow, digitate and pointed, ex.tending radially; multinucleate, up to 400. [Only the test of Geopyxella was described. This seems analogous to Phryganella, but the synonymy can only be proven by a study of pseudopodia! and other characters]. [On moss.] Pleist.-Rec., India.W.Eu.-N.Am.--F1c. 19,1. *P. nidulus, Rec., Switz.; la-c, apert., oblique, and aboral views, approx. X170 (*1435).--Fic. 19,2. P. sylvicola (BoNNET & THOMAS), Rec., Fr.; 2a,b, apert. and edge views, X320 (*171).  "
"Family PENARDIIDAE Loeblich & Tappan, 1961 "	"Penardia CASH, 1904, "	"*299, p. 223 [""P. mutabilis; OD(M)]. Round to ovoid body when at rest, during progression expanded and mobile, with widespread network of slender, branching and anastomosing pseudopodia; endoplasm deep green with symbiotic algae, ectoplasm granular, gray to colorless; single nucleus; one or more con.tractile vacuoles; up to 400/l in maximum di.ameter. [In sphagnum.] Rec., Eu.--F1c. 20. *P. mutabilis, Eng.; active individual, X350 (*299).  "
"Family GROMIIDAE Reuss, 1862 "	"Gromia DuJARDIN, 1835, "	"*632, p. 338 [""G. ovi.formis DUJARDIN, 1835, *634(a), p. 345; SD (SM), DuJARDIN, 1835] [=Arcellina DuPLESSis, 1876, *1460, p. 100 (type, A. marina) (non Arcellina CARTER, 1856); =Hyalopus ScHAUDINN, 1894, * 1641, p. 14) (type, Gromia dujardinii SCHULTZE, 1854, *1695, p. 55)]. Test basically spherical to ovoid (diam., 0.15-3.0 mm.), may be deformed and lobate when living in dense growth, or flattened at extremities; wall transparent to color.less or apertural rim may be brownish, regarded as consisting of 2 layers (JEPPs, *990; HEDLEY, 0 891), inner structureless membrane and outer per.forated layer originally described as having ir.regularly prismatic structure (chitinoid?), 2-20µ in length and insoluble in HCl, but dissolved in caustic potash, perforations shown to be radial canals under electron microscope, and the inner layer shown to be finely granular ectoplasm (""892); aperture broad, round or oval, terminal, surrounded by apertural apparatus which consists of narrow tubuliferous ring at outer margin of base of conspicuous, hyaline, flexible collar, the area surrounding the oral capsule lacking per.forations in electron micrographs, 9 to 20 simple lobes or fimbriate septa! bars radiate in.ward from edges of collar, restricting the open.ing; the oral capsule has numerous fine tubules or fibrils as seen by electron microscope; granu.lar protoplasm filling test, contains food particles, numerous small refringent bodies (xanthosomes), sand grains and abundant brown oval masses of debris (stercomata) which results in opaque brown color; multinucleate, spherical nuclei (diam., 3.5.5/l); pseudopodia arising from clear ectoplasm in pseudopodia! trunk are thick, very elongate, hyaline and nongranular; asexual and sexual reproduction, uniflagellate f!agellulae having been variously referred to as gametes (""1106) which fuse, or as asexual ""swarm spores"" (*990). [VAL.KANOV, 1938, reported fusion of gametes, and dimorphism in size of adults, resulting from the sexual and asexual generations in G. du.jardinii (*1973). [Marine.] Rec., Eu.-N.Am.-.FIG. 21,1-4. ´c. oviformis; 1, living animal show.ing pseudopodia, Fr.; XlO (*632); 2a,b, thick perforated layer with thinner supposed mem.branous layer and surface view showing per.forated ""prisms,"" Eng.; X 1,750; 3, flagellate gamete, Eng.; X 4,000 (*1106); 4a,b, oral ap.paratus, top view and vert. sec., USA (Calif.); X50 (*41).--Fic. 21,5. G. dujardinii SCHULTZE, Italy; X36 (*1695).--Fic. 22,1-3. *G. ovifor.mis, electron micrographs (*892); 1, section of shell showing canal passing radially through   wall, X 15,800; 2, oblique section of shell (<lark oral capsule showing tubules of which it is com.area in upper right), showing honeycomb mem.posed, with connecting filaments, X 82,000. brane that extends diagonally across figure an<l Amoebogromia GIARD, 1900, *787, p. 377 [*A. cin.cytoplasm (lower left), X 137,000; 3, section of nabarina OD(M) J. Solitary or in small colonies  / ...-7  I Gromio   '\  8   ~..   Copsellino  Borgoniella     of 10 to 12; test irregularly ovoid, but variable  during movement (length to 2 mm.), with hya. line, elastic test completely filled by homogeneous,   finely granular, red protoplasm; nucleus spheri. cal, eccentric, large (diam., 160µ) ; pseudopodia  extended from single opening, elongate; never  figured. [Marine, associated with cirripeds.] Rec. ,   "
"Family GROMIIDAE Reuss, 1862 "	"Eu.(Fr.). Bargoniella LoEBLICH & TAPPAN, 1961, "	"0 11SI, p.  216 [0 Salpicola amylacea BARGONI, IS94, ´so,  p. 43; OD] [=Salpicola BARG0N1, IS94, ´so, p. 43 (obj .) (non RICHIARDI, ISSO)]. Test ovoid with ""cellulose"" wall; aperture terminal with thickened collar from which pseudopodia! trunk emerges; protoplasm granular, filling test, pale in young but opaque in adult; nucleus large; reproduction by binary fission; pseudopodia elongate, bifur.cate, probably filose, and ramifying in tunicate Salpa upon which it is parasitic. [Originally re.garded as a parasitic foraminifer, this genus was r~ferred to the Filosa (*1569, p. 202) because of its evident filose pseudopodia. A search for type material on the tunicates Salpa mucronata and S. democratica in the region of Messina, Sicily, could determine without doubt the sys.tematic position of this genus.] [Marine.] Rec., Eu.(Italy).--F1c. 21,8. 0 B. amylacea (BARGONI), Sicily; enlarged ( 0 700).   "
"Family GROMIIDAE Reuss, 1862 "	"Capsellina PENARD, 1909, "	"0 1439, p. 290 [""C. bryo.rum; OD] [=Rhogostoma BELAR, 1921 , 0 107, p. 305 (type, R. schuessleri BF.LAil). Test ovoid, slightly compressed laterally (diam., 12-40µ) ; wall of 2 layers, outer one membranous, grayish to dark brown, with small chitinous or siliceous agglutinated particles, inner one transparent, pearl.gray, flexible; aperture narrow elongate slit in depression; one or many contractile vacuoles; nucleus very large, single, with 3 to 6 nucleoli; reproduction by division; pseudopodia filopodia, without anastomosing. [On moss.] Rec., Eu.-.F1c. 21,6. ´c. bryorum, Switz.; 6a-c, broad side with contracted protoplasm showing large nu.cleus; oblique and apert. views, X750 (0 1439). --Fie. 21,7. C. schuessleri (BF.LAil), Ger.; side view showing pseudopodia, X 1,700 (0 107). Chlamydophrys CIENKOWSKI, IS76, 0 341, p. 39 [´C. stercorea; OD] . Test ovoid, hyaline, with short neck, rather rigid but capable of deforma.  ""Thecamoebians"" C43  tion; protoplasm divided into 2 zones by dark transparent protoplasm conta1mng single nucleus equatorial zone of granules, oral area of proto.with nucleolus; pseudopodia! trunk arising from plasm being rich in vacuoles, aboral end with neck, from which numerous, fine, nongranular     ~ \\\IV/. /  Clypeolina ' ._ ,:'-. . \ \ I ,, I ‡'/ ~ /  ~~.~Vi(/  ~l~;. l~(    //..0;::~):<~~\  //:‡‡: ~,..' . .r./~.-.j /.;\ \ I tl-~<L~,,..,,    \~'-{ 0).‡'.\.,~.;)J1  \~ \ ‡‡‡ ;r‡~1  \ ~J f0‡~,:.~~~JY/  4d ~/ 5   Chlamydophrys   (p. C42-C46).   Logunculino Urnulino  pseudopodia extend. [Fresh water.] Rec., Eu.-.F1G. 23,5. ´c. stercorea, Ger.; side view showing dark equat. zone, large nucleus, and delicate pseudopodia, X 760 ( 0341 ).   "
"Family GROMIIDAE Reuss, 1862 "	"Clypeolina PENARD, 1902, "	"0 1435, p. 459 [""C. mar.ginata; OD(M)]. Test grayish, oval or elliptical (length, 80-140µ), composed of 2 layers, outer cover of 2 strongly compressed chitinoid valves with distinct border flange, bearing flat, irregular, siliceous scales which are larger toward center of test and separated by smaller scales, inner cover consisting of membranous sac; aperture ellip.tical to linear; nucleus large, round, with large nucleolus, single contractile vacuole; pseudopodia filiform, elongate, narrow, branching; reproduc.tion by binary fission, each half appropriating one of outer valves and secreting another new one. [Fresh water.] Rec., Eu.--F1G. 23,2. ´c. mar.ginata, Switz.; 2a-c, side, edge, and top views approx. X 250 ( 0 1435).  "
"Family GROMIIDAE Reuss, 1862 "	"Diaphorodon ARCHER, 1869, "	"0 31, p. 394 [ ´ D. mobile; OD]. Test large, ovoid (length, 60-113µ), membranous, with agglutinated cover and with thick covering of fine, rigid, hyaline, apparently pseudochitinous bristles which were originally thought to be pseudopodia; pseudopodia long, filose, branching; single nucleus, placed posterior.ly; aperture terminal, of varying shape; I or 2 contractile vacuoles toward apertural end. [Fresh water.] Rec., Eu.--FIG. 23,3. ´ D. m obile, G. Brit.; X200 (0 302a).  "
"Family GROMIIDAE Reuss, 1862 "	"Frenzelina PENARD, 1902, "	"0 1435, p. 463 [""F. reni.formis; OD(M)]. Test thin, hemispherical (diam., 26-30µ), with some siliceous particles, aperture equal to diameter of test; protoplasmic body rounded, ovoid, slightly reniform, covered by thin, flexible membrane, with considerable separation between this and outer test; apertural orifice of inner membrane narrowed, round, and may pro.trude slightly; nucleus central, one contractile vacuole, numerous very fine pseudopodia, rigid, simple or bifurcate, leading from pseudo;>odial trunk. [Fresh water.] Rec., Eu.-Australia.--F1G. 23,1. ÁF. reniformis, Switz.; la, side view show.ing pseudopodia! trunk, outer test and inner membrane, approx. X 1,000; l b, top view, approx. X700 ( 0 1435).  "
"Family GROMIIDAE Reuss, 1862 "	"Lagunculina RHUMBLER, 1904, "	"0 1569, p. 248 [ 0 0 11ulina lll""TlUla GRUBER, 1884, 0 833, p. 497; OD(M)] [=Ovulina GRUBER, 1884, 0 833, p. 497 (obj.) (non EHRENBERG, 1845); = Arlagrmct1ltm1 RHUMBLER, 1913, 0 1572b, p. 349 (obj.) (n om . van .)]. Test flask-shaped (length, 0.15 mm.), with everted phialine apertural neck; wall finely arenaceous, finer-grained and less densely packed in apertural region; one nucleus. [Similar in gen.eral appearance to Urnulina GRUBER, but in view of the questionable pseudopodia! characters of both genera, they are left distinct for the present.] [Shallow marine, on wood and rocks.] Rec., Eu. --FIG. 24,J. ""L. urnula (GRUBER), ltaly(Genoa Harbor) ; la,b, side view of stained test and living specimen showing pseudopodia, X300 (0 833).  "
"Family GROMIIDAE Reuss, 1862 "	"Lecythium HERTWIG & LESSER, 1874, "	"0921, p. 117 [´Arcelia? /1 yalina EHRENBERG, 1838, 0 668, p. 134; OD(M)] [ =Pamphagus BAILEY, 1853, 0 66,  p. 347 (type, P. mutabilis BAILEY, 1853) (non Pamphag11s THUNBERG, 1815) ; =Baileya AvER.INTSEV in ScHOUTEDEN, 1906, 0 1675, p. 382 (pm Pamphagus BAILEY, 1853); =Troglodytes GA.BRIEL, 1876, 0 759, p. 536 (type, T. zoster) (non Troglodytes MOEHRING, 1758, nee GEOFFROY, 181 2); =Phonergates BucK, 1878, 0251, p. 20 (type, P. vorax BucK, 1878 (non Phonergates STAL, 1853)]. Test spherical to pyriform (length, 30-45µ), thin, flexible, colorless or translucent, no foreign matter; aperture terminal, circular, on    short neck; protoplasm colorless, granular, filling 25,2. ´L. hyalinum (EHRENBERG), Ger.; 2a,b, side  test; nucleus large, with central nucleolus, pos.and aboral views, approx. X500 (""921).  terior in position; one contractile vacuole; pseudo.Nadinella PENARD, 1899, ""1434, p. 82 [*N. tenella;  podia numerous, narrow, elongate, branching. OD]. Test flask-shaped (length, 50-55µ), pseu. [Fresh water on moss.] Rec., Eu.-N.Am.--FIG. dochitinous, with small agglutinated scales par-  Pseudodifflugia     \\\ /,  2a  Lecythium  3c  Penardeugenia  3b    C46 Protista-Sarcodina  3b  1// ,,.  3a Archerellc.  Amphitremo  J 4a 2b  2o Morendo Amphitremo FIG. 26. Amphitrematidae; J, 2, Amphi1rema; 3, Arcl1erella; 4, Marenda (p. C47).  ticularly at aboral end, compressed ; aperture narrow, grooved at each side with broad hyaline collar surrounding aperture; protoplasm clear, not c0mpletely filling test; nucleus at aboral end; one contractile vacuole; pseudopodia elongate, narrow, liliform. [Fresh water.] Rec., Eu.-.F1G. 23,4. *N. tenella, Switz.; 4a,b, aboral and side views, approx. X 500; 4c,d, aperture from larger side and from edge, enlarged ( * 14 34).  "
"Family GROMIIDAE Reuss, 1862 "	"Penardeugenia DEFLANDRE in DEFLANDRE-RIGAUD, 1958, "	"*578, p. 29 [*Pamphag11s balhybioticw PENARD, 1904, *1436, p. 413; OD] [=Eugenia AvERINTsEv, 1906, *59, p. 263 (obj.) (non GOULD, 1855, nee MARTE NS, 1860; nee RoBINEAU.DEsvornv, 1863; nee HALL, 1867) ]. Test globu.lar (diam., 35-45,u), thin-walled, hyaline, with small, triangular, siliceous platelets regularly ar.ranged, test covered by short pointed siliceous bristles, enlarged at their base; aperture terminal, round to elliptical owing to rather flexible mar.gin; protoplasm granular, colorless, with large nucleus containing small nucleolus at aboral e!""!'.! of test; large, round, active contractile vacuoles near aperture; pseudopodia filiform, tapering. [Fresh water.] Rec., Eu .--FIG. 25,3. *P. ba1hy.bio1ica (PENARD), Switz.; Ja, side view, approx. X875; Jb, apert. area, enlarged; Jc, detail of plate arrangement, approx. X 1,700 (*1436).  "
"Family GROMIIDAE Reuss, 1862 "	"Pseudodifflugia SCHLUMBERGER, 1845, "	"*1669, p. 256 [*P. gracilis; OD(M)]. Test ovoid to globu.lar (length, 20-65,u), pseudochitinous, usually rigid , with some foreign matter; aperture large, rounded, terminal; single nucleus and single con.tractile vacuole ; pseudopodia liliform, very elon.gate, simple or branching. (Fresh water.] Pleist..Rec., Eu.--FIG. 25,J . *P. gracilis, Rec., Switz.; I a-d, aboral, side and a pert. views of variously shaped tests, X250 (*1435).  "
"Family GROMIIDAE Reuss, 1862 "	"Urnulina GRUBER, 1884, "	"*833, p. 496 [*U. dif.fl11giaeformis ; OD] [=Arnrnulum RHUM BL ER, 1913, *1572b, p. 349 (obj.) (nom. van.)]. Test ovate (length, approx. 0.8 mm.), somewhat nar.rowed at aboral end; wall of foreign matter and densely packed siliceous grains, some of which may be secreted by animal; aperture broad, at flattened end of test, with clear rim; pseudopodia originally illustrated as filose and hyaline, but only observed once, and description leaves doubt as to their true character. [Marine.] Rec., Eu. (Medit.-N.Sea).--FIG. 24,2. *U. diffiugiaefor.  mis, Italy(Genoa Harbor); X30 (*833).  "
"Family EUGLYPHIDAE Wallich, 1864 "	"Ampullataria VAN 0Y£, 1956, "	"1977, p. 353 [A . rotunda; OD(M) J. Test lagenoid (length, 110µ), circular in section, with elongate tubular neck distinctly separated from ovate body; small oval plates overlapping to appear hexagonal, plates of neck smaller, irregular ‡and not overlapping, capable of movement; aperture terminal, rounded; protoplasmic details unknown. [Fresh water.] Rec., S.Am.(Venez.).--F1c. 28,J. ""A . rotunda; X400 ( 0 1977).  "
"Family EUGLYPHIDAE Wallich, 1864 "	"Heteroglypha THOMAS & GAUTHIER-LIEVRE, 1959, "	"1909, p. 205 [H. delicat11/a ; OD(M)] [= ?H ya.lina )UNG, 1942, *1005, p. 328 (type, H. neta )UNG, 1942) (non Hyalina SCHUMACHER, 1817, nee STUDER, 1820, nee ALBERS, 1850, nee RAM‡ BUR, 1866)] . Like Sphenoderia but with thin chitinoid lip rather than denticulate apertural margin; test covered with elongate oval scales (length, 40-75µ.), imbricated as in Euglypha; living animal unknown. (Hya/ina }uNc was de-scribed as having a netlike surface rather than imbricate scales. Its similarity to Heteroglypha in appearance suggests that the network may actually denote the presence of scales; hence the genus is regarded as probably synonymous). [Fresh water on sphagnum.] Rec., Afr.-S.Am.--F1c. 28,2,3. ´H. delicatula, Congo; 2a-c, side, edge, and top views, X580 (""1909); 3, edge view showing plate arrangement, X580 (0 1909).-.Fic. 28,4. H. neta (JuNc), Chile; 4a,b, side and edge views, X583 (0 1005).    "
"Family EUGLYPHIDAE Wallich, 1864 "	"Placocista LEIDY, 1879, "	"0 1127, p. 221 [0 Euglypha spinosa CARTER, 1865, 0 289, p. 290; OD) [=Placocysta BLOCHMANN, 1886 (fide 0 302a, p. 42) (nom. van.)]. Test ovate (length, 65-175µ.), compressed, lenticular in section, composed of oval to circular imbricated siliceous scales; aper.ture elongate, with flexible border, without toothed apertural scales of Euglypha or denticu.late pseudochitinous margin of Sphenoderia: protoplasm gray to colorless, granular, particu.larly in central area, and may contain symbiotic algae; nucleus large, posterior; 2 or more con.tractile vacuoles; pseudopodia tilose and branch.ing, generall y arising from protruding pseudo.podia! trunk. [Fresh water on sphagnum.) Rec., Eu.-N.Am.--F1c. 28,5,6. ´P. spinosa (CARTER), Br.I.; 5a-c, side, edge and basal views, X 300 ( 0302a); 6, spines, X800 ( 0302a).  "
"Family EUGLYPHIDAE Wallich, 1864 "	"Sphenoderia SCHLUMBERGER, 1845, "	"0 1669, p. 256 r´s. lenta; OD(M) l [=Assulina EHRENBERG, 1872, 0 688, p. 246 (type, Diffiugia seminulum EHRENBERG, 1848, 0 677, p. 379, SD LoEBLICH & TAPPAN, herein); =Hologlypha EHRENBERG, 1872, 0 688, p. 246 (type, Diffiugia ( Assulina) lenta SCHLUMBERGER, EHRENBERG, 1872, =Sphe.noderia lenta SCHLUMBERGER, 1845, obj., SD LoEBLICH & TAPPAN, herein)). Test ovoid to globular (length, 30-150µ.), compressed, hyaline, colorless to brown, membranous, covered with regularly arranged, circular, oval, or hexagonal siliceous scales, which do not extend to cover neck, as in Euglypha, but leave bare a thin chitinous dentate membrane or collar around oval or elliptical terminal aperture; protoplasm com.monly colorless to gray; nucleus large, toward posterior end; 1 or 2 contractile vacuoles; pseudo.podia filose, may bifurcate. [Fresh water on    /  Trinema   3 	4a  Corythion 4b  sphagnum.] Pleist.-Rec. , Eu.-N.Am.-Afr.-Australia. --FIG. 29,1 . S. seminulum (EHRENBERG), Rec., USA(N.J.); la-c, side, edge, and top views (la, living specimen), X500 ( 0 1127).--FIG. 29,2.  ´s. lenta, USA(N.J.); 2a,b, side views of empty tests, X500 ( 0 1127).  "
"Family EUGLYPHIDAE Wallich, 1864 "	"Trachcleuglypha 	DEFLANDRE, 1928, "	"0 570, p. 40 [ 0 Euglypha dentata VEJDOVSKY, 1882, 0 2000, pl. 2, figs. IF, IJ, lK; OD] [=?Geamphorella BoN.NET, 1959, 0 169, p. 180 (type, G. lucida)] . Like Euglypha but without apertural scales; like Sphenoderia but aperture circular rather than elongate; length of test, 35-100µ.. [PE NARD ( 0 1435) described Euglypha dentata as having only rounded scales, with a denticulate mem.branous collar projecting above the last row of scales, and this character was regarded as of generic importance by DEFLANDRE ( 0 570). How.ever, the original figures of VEJDOVSKY (here re.drawn, Fig. 29,4a-c) show dentate apertural scales. Either these original figures are erroneous or the genus is a synonym of Euglypha. Only a study of topotype material can solve the prob.lem]. [Fresh water, on moss and sphagnum.]   Mio. -Rec., Eu. -Afr. -N.Am. -S.Am.-Asia-Ind.O. Jc, arrangement of scales, showing cementing (Seychelles)-Australia.--F1c. 29,3,4. ´T. den.material at scale extremities, enlarged ( 0 1435); tata (VEJDOVSKY), Rec.; Ja,b, side views of living 4a-c, exterior, interior after reproductive fission, specimen and empty test; Switz., approx. X 600, and apertural area showing pseudopodia, Czech.,    ""Thecamoebians"" 	C53  I   \    \y  '.. \ ' ,  /  \ 	/  \.   approx. X600 (*2000).--FIG. 29,5. T. lucida (BoNNET), Rec., Fr.; side view, X440 (*169).  "
"Family EUGLYPHIDAE Wallich, 1864 "	"Corythion 	TARANEK, 1882, "	"1876, p. 232 [C. dubium; OD]. Like Trinema but with non.imbricated oval siliceous plates, length of test, 25-65µ.. [Fresh water.) Pleist.-Rec., Eu.-S.Am.-N. Am.--FIG. 30,3,4. ´c. dubium, Rec., Czech.;  3, empty test, Xl,000 (*1876); 4a,b, side and edge views, X500 (*1876).  "
"Family CYPHODERIIDAE de Saedeleer, 1934 "	"Campascus LEIDY, 1877, "	"´1126, p. 294 (""C. corn11.tw; OD(M)]. Similar to Cyplzoderia, but pseudo.chitinous pellicle covered with amorphous scales lacking uniformity of shape or arrangement (""302a, p. 83) or with scattered sand particles  (´1 !27, p. 205) (length of test, 50-140µ). [Fresh water. ] Rec., N.Am.-Eu.--FIG. 31,4. ´c. corm1tus LEIDY, USA(Utah) ; 4a-c, side, edge, and apert. views, X2 50 ("" 11 27).  "
"Family PAULINELLIDAE de Saedeleer, 1934 "	"Paulinella LAUTERBOR.', 1895, "	"0 1098, p. 537 [ ""P. clzromatoplzora; OD]. Test small (length, 25.42µ), ovate, consisting of curved siliceous plates with rounded ends, in alternating rows; aperture terminal, oval, surrounded by single pentagonal plate which is produced centrally into a necklike rim; protoplasm clear, somewhat bluish; nucleus single, posterior in position; one contractile vacuole toward oral end; in type-species always with 2 horseshoe-shaped symbiotic algae; pseudo.podia few, straig ht, radiating; reproduction by fission. (Fresh water.] Rec., Eu.--FIG. 32,J. ""P. c/1romatoplzora, Ger. ; la,b, living animal showing pseudopodia, nucleus, and symbiotic algae; I c, exterior of empty test showing plate arrangement; all approx. X l ,000 (´1 098). [The genus Pauli.nella=Cyanospira CttoDAT, I 920, ´337 A, p. 298  (type, C. aeruginosa).]  "
