"Amaurochaetaceae RoSTAFINsKI, 1873, "	p. 8)]  Sporangia combined to form aethalium.  Rec.  
"Archaeochitinia EtsENACK, 1954, "	"*694, p. 54 [""A. gotlandica; OD]. Test free , unilocular, semiglobu.lar; wall chitinous; aperture consisting of small pores or openings at end of short tubuli. L.Sil., Eu.--F1c. 93,J. ?A. gotlandica, Llandov ., Swed.en(Gotl.); I a, side view, X 140; I b, apertures, enlarged (?694).  "
"Archaeochitosa EtsENACK, 1959, "	"0 695, p. 91 [?A. lobosa; OD]. Test pseudochitinous membrane, forming single irregular chamber; one or more circular to oval apertures at ends of tubular ex. 5  Cerotestino   \  4 ~   Ceratestino Chitinodendron  tensions from central portion. Ord.-/ur., Eu.-.F1c. 93,2. ?A. /obosa, O'rd. (Echinosphaeritenkalk ), Est.; X50 (*695).  "
"Ceratestina CARTER, 1880, "	"*296, p. 448 [ ?c. globu.laris ; SD GALLOWAY, 1933, 0762, p. 294]. Similar to Placopsilinella in havi ng dark brown pseudo.chitinous wall and attached, subglobular, irregu.larly arra nged chambers, but differing in presence of stoloniferous intercameral connections and stoloniferous extensions from final chamber ; differs from Hospitella in being attached but not para.sitic, and in having more closely, less regularly arranged chambers. Rec., Ind.O.--F1c . 93,4,5.  ?c. globularis, 4,5, entire individuals, approx. X25 (*296).  [The original figures and description of this genus are quite similar to P/acopsiline/la, but as the types of Ceratestina were not found (stated to be in Live rpool Free Museum, but appa rently destroyed during World War II ) both genera arc tentatively recognized, though additional material may prove their identity. Specimens of the type? species of P/acop1iline/la do not show the stoloniferous features described for Ceratestina.]  "
"Chitinodendron EtsENACK, 1937, "	"*693b, p. 236 (*C. bacciferum; OD]. Thin pseudochitinous branching tubes, which terminate in oval saclike chambers that commonly are axially symmetrical. U.Cam .-Sil., USA-Eu.(Est.-Ger.).--Ftc. 93,3.  ?c. bacciferum, M.Ord.(Llanvirn.), Est.; X60 (0 693 b).  "
"Chitinolagena E. V. BYKOVA, 1961, "	"*260, p. 31 [?c. gutta; OD]. Test unilocular, with inflated base and wide elongated neck; wall chitinoid, dark brown, of labyrinthine structure; aperture terminal. [Clzitino/agena is here recognized as a foraminifer, as interpreted by BYKOVA, but pos.sibly should be placed with the Chitinozoa which it strongly resembles in form.] U.Ord.(Caradoc.), USSR(Kazakh.).--F1c. 94. ?c. gutta; holotype, long. sec., X330 (?2112).  "
"Chitinosaccus 	SMITTER, 1956, "	"*1802, p. 285 [""C. z11/11ensis; OD]. Test irregular, elongate, cylindri.cal sac, 0.65 mm. in length; pseudochitinous, somewhat flexible, with some foreign matter,    C176 Protista-Sarcodina  colorless to reddish-brown; aperture terminal. z11/11ensis, Zululand; 4,5, empty test and one with  rounded, single; protoplasm filling test; pseudo.protruding pseudopod ia; Ga,b, side, top views,  podia branching and anastomosing. [Brackish approx. X60 ('1802).  water, sublittoral.] Rec., S.Afr.--F1c. 92.-1-6. ?c. Dactylosaccus R11U'1BLER, 1894, ""1568a, p. 601   Dactylosaccus   Dendrotuba  Micrometula  3b  \   4 5 Lieberkuehnia  Penardogromia   Fie. 0'> .-\l1<1grom iidae; 1, D.1ctrlos,1cc11s: ~. Dendrotuba: 3 . . '1io-omet11ln: -I, Lic/>ei-!ittel111ia: 5, Penardo.. gro 111 i<1 (p. Cl/6-Cl/7. CJ 7ll. Cl ~ !).   [*D. vermiformis; OD] [=Ardactylosacrnm RHUMBLER, 1913, *1572b, p. 343 (obj.) (nom. van.)]. Free-living or inhabiting empty fora.miniferal tests; elongate, to 4 mm. in length, hyaline, chitinoid; sausage-shaped or convoluted tube, enlarging somewhat toward apertural end, from which lobose protuberances extend giving rise to pseudopodia; protoplasm with small vacuoles; 1 or 2 globular nuclei. [Marine, 40.250 m.) Rec., N.Atl.-N.Sea.--F1c. 95,J. *D. vermiformis, N.Atl.; X45 (*1568a).  "
"Dendrotuba Rttu,IBLER, 1894, "	"*1568a, p. 606 [*D. nodulosa; OD J [=Ardendrot11b11m RHUMBLER, 1913, *1572b, p. 350 (obj.) ( nom. van.)]. Test, 0.7-5.0 mm. in length, growing inside empty foraminiferal tests and attached by rigid and tough threadlike filaments, tube much convoluted, may be branched, even in size except for some knotlike swellings; wall resistant, chitinoid sheath with ringlike constrictions; ends of tube tapering or clavate; nucleus single, large, approximately as wide as protoplasmic body, diam. 87-138æ, variable in position. [Marine, cold water.) Rec., N.Atl.--FIG. 95,2. *D. nodulosa; portion of tube with central constriction (c), threadlike fila.ments (f), large ovoid nucleus ( n) and chromatin granules in nucleus (g), X250 (*1568a).  "
"Diplogromia RttuMBLER, 1904, "	"*1569, p. 214 [*Gromia brunneri BLANC, 1886, *145, p. 362; SD CUSHMAN, 1928, *439, p. 60] [=Ardiplo.gromium RHUMBLER, 1913, *1572b, p. 344 (obj.) (nom. van.); Allelogromia DE SAEDELEER, 1934, *1609, p. 67 (obj.)). Test free, ovoid or pyri-.form, length, 0.06-0.25 mm.; wall 0.02 mm..thick, composed of small siliceous particles and foreign matter held in gelatinous cement; aperture terminal, round, extensible; protoplasm yellowish and extending from aperture in asymmetrical pseudopodia! peduncle, protoplasmic body covered with fairly thick mucilaginous layer which sep.arates it from external test and which apparently was originally regarded as an inner hyaline layer, though no trace of such 2-layered character can be seen in thin sections (*1437, p. 69); nucleus large, spherical, may have many smaller nuclei; vacuoles small, generally numerous; pseudopodia numerous, long, commonly anastomosing. [Fresh water.) Rec., Eu.--FIG. 96,1. ? D. brunneri (BLANC), Switz.; X 110 (*1569).  "
"Hospitella RttmIBLER, 1911, "	"*1572a, p. 92, 227 [*H. fulva; OD (M)) [=Arhospitell11m RHUMB.LER, 1913, *1572b, p. 440 (obj.) (nom. van.); Hospitellum RHUMBLER, 1913, *1572b, p. 468 (obj.) (nom. van.)]. Test attached, pseudo.chitinous, brownish, imperforate, commonly oc.curring in empty tests of other foraminifers; chambers globular to ovate or flask-shaped with stoloniferous necks, in uniserial or irregularly branching arrangement, or may be closely piled on each other, influenced bv size and shape of cavities in occupied test, neck and aperture may  Oiplogromia I.  \ 2  \ Marsupulina  3   ______________,,. Para l i eberkuehni a   pierce shell of this test. [Differs from Placopsili. nella in flask-shaped chambers and apparently  parasitic habit. The type-species, regarded as  fixed by monotypy as H. f11lva, is the only de. scribed species included by RHu,IBLER; H. fwca  was mentioned (*1572a, p. 227) but not described  and thus is a nomen n11d11m.] Rec., Atl.--FIG.  97,2. *H. fulva; X95 (*1572a). Labyrinthochitinia E. V. BYKOVA, 1961, *260. p. 58  [*L. tasti!(oliensis; OD]. Test free or attached,  subglobular to subellipsoidal. with inner partitions  resulting in numerous somewhat indi;tinct cham.  C178 Protista-Sarcodina  berlets that intercommunicate by labyrinthine like wall openings. U.Ord. ( Caradoc.) , USSR(N. canals; w:ill thin, d:irk brown, chitinoid, laby.Kaza kh.).--F1c. 98,J ,2. ?L. tastikoliensis; I, rinthic in structure; no :iperture other than canal-holotype, 2, paratype, X330 ('2112).  F1c.. ""; . . \llngromiidac; 1. Placopsili11clla: 2, Hospitella: 3. -I ..\'ode/111111: 5. T11rnda1?11!a: 6. 7, Thalam oph. aga: IJ . .\""enotlieka (p. Cl77, Cl /''-C l ~ l. Cl~3).   (p. Cl77-Cl78).   "
"Lieberkuehnia CLAPAREDE & LACHMANN, 1859, "	"*345, p. 464 (*L. tvagneri; OD (M)] [=Arlieber.k11elinium RHUMBLER, 1913, ""1572b, p. 343 (obj.) ( nom. van.)]. Test 60-350,u in length, oval or spherical, membranous, smooth or thinl y covered with foreign matter; aperture single, lateral or subterminal, may be narrow slit; protoplasm clear, slightly yellowish, distinctly granular with ribbon.like pseudopodia! trunk extending through aper.ture and giving rise to pseudopodia or layer of protoplasm that may almost envelop test; one to many spherical nuclei, 80-150 in type-species ; numerous contractile vacuoles; pseudopodia elon.gate, anastomosing, with pronounced granular streaming; reproduction by fission. [Fresh water and marine.]Rec., Eu.--Frc. 95,4. ?L. tvagneri (bottle of water in Berlin from unknown source); approx. X 100 (*281).  "
"Marsupulina RHUMBLER, 1904, "	"0 1569, p. 249 (*M. sc/111/tzei; OD (M)] [=Armarsttpi11m RHUMBLER, 1913, *1572b, p. 349 (nom . van.) (obj.)] . Test ovate, ellipsoid or reniform , 0.2 mm. in length; wall chitinoid, may be partially or wholly cov.ered with deposit of amorphous, granular calcite; aperture rounded, eccentric; nucleus single; pseu.dopodia granulose. [Marine.] Rec., Eu.--Frc. 96,2. *M. sclwltzei, Medit.(Italy); X60 (*1569). Maylisoria E. V. BYKon, 1961 , 0 260. p. 31 f*M. psmdoscheda. 001 r=Alexa11drclla E. v. BYKOVA, ] <J58, *259, p. 880 ( 110111 . 1111d.) (11011 CHEVR rnx, 1911; 11ec ToN:'<OIR, l CJ26) l. Test free, irregularly  ovate; wall thick, yellowish or brownish-gray, chitinoid and microgranular, labyrinthine in struc.ture, pierced by narrow tubular pores or canals; without aperture other than tubular canals. U .Ord. (Caradoc.), USSR(C.Kazakh.).--Frc. 99,1,2. *M. pse11doscheda; la, holotype, X330; lb, dia.gram showing structure; 2, paratype, X 330 (*2112).  "
"Nodellum RHUMBLER, 1913, "	"1572b, p. 443, 473 [ ? Reophax membranacea BRADY, 1879, *I 96a, p. 53; OD] [=Arnodellttm RHUMBL ER, 1913, *1572b, p. 443 (obj.) (nom. van.); Chitinosiphon THALM ANN & BERMUDEZ, 1954, *1906, p. 53 (type,  "
"C. rnfescens THALMANN & BERMUDEZ, 1954)]. "	"Test free; oval proloculus followed by elongate, curved, and slightly enlarging tube with irregu.larly spaced transverse constrictions; wall thin, translucent, brown, pseudochitinous; aperture rounded, at slightl y constricted end of tube. Rec.,  F1<;. '! '!. :\ll<1gro111iid;ie; I ,7, A/aylisoria ( p. C 179).    Cl80 Protista-Sarcodi12a  s:ind grains attached to chitinoid wall, Chitin osiphon was 3, topotype, S.Atl.; X65 ('2117); 4, holotype.  recently proposed. Not only are the genera synonymous,  reli gured, of C. rnfesce11 s TttAU! ANN & BER~1(;0Ez,   but their type-species are identical. No attached sand xso (""2117). occurs on topotypes of Reophax membranacea, hen ce pos?     0  \ .   :------?  I  b   lb J   -p  e  j  2  Rhynchogromio  Phoinogul lmio   Pleurophrys    sibly extraneous material was originally mistaken fo.r an agglutinated test. The specimens illustrated for Clntino.siphon include the holotype of C. rufescens, 3.14 mm. in length, and paratypes 1.49 to 2.9 mm. in length, the type of R. membranacea being about 1.4 mm. in length. Both type-species were described from deep water in the Atlantic.]  "
"Paralieberkuehnia DE SAEDELEER, 1934, "	"*1609, p. 52 [*Microgromia elegantula PENARD, 1904, *1436,  p. 416, OD) [=Fara/ieberkuehnia DE SAEDELEER, 1932, ?1375, p. 619 (nom. nud.)]. Test, 20-25,u in length, thin, hyaline, pseudochitinous, rounded; protoplasm encloses brilliant grains, only partially filling test as globular mass, restricted toward aper.ture into pseudopodia! trunk; nucleus subcentral; very large contractile vacuole near base of pseudo.podia! trunk; pseudopodia very fine, straight, long, granular and exhibit slow granular streaming. [Fresh water.] Rec., Eu.--F1c. 96,3. *P. ele.gantula (PENARD), Belg.; specimen with strong pseudopodia! trunk and elongate pseudopodia, X500 (*1609).  "
"Penardogromia DEFLANDRE in GRASSE, 1953, "	"*810,  p.  140 [*Gromia linearis PENARD, 1902, *1435,   p.  567; OD (M)). Test elongate, 220-230,u in length, tubular or fusiform, straight to slightly arcuate, thin, delicate, translucent, yellowish, con.sisting of extremely small platelets in clear ground.mass, suggesting small longitudinal stnauons; aperture terminal; protoplasm yellowish, con.stricted toward aperture into distinct pseudopodia! trunk; nucleus spherical, with large nucleoli, more rarely as many as 20 nuclei; small contractile vacuole; pseudopodia anastomosing and fila.mentous, extending from trunk. [DEFLANDRE cited the type-species as ""Gromia linearis var. Penard, 1902,"" but in 1902 PENARD described no form under this name, only ""Gromia linearis spec. nov.""J [Fresh water.] Rec., Eu.--F1c. 95,5. *P. linearis (PENARD), Switz.; approx. X250 (*1435).    "
"Phainogullmia NYHOLM, 1955, "	"*1377, p. 466 [*P. aurata; OD]. Test cylindrical, 0.2-1.4 mm. in length, tapering at both ends, yellowish-brown, glossy, opaque, consisting of chitinoid lamellae; aperture at each end of test; food vacuoles in protoplasm; single nucleus; pseudopodia reticulose, extending from both apertures; asexual repro.duction by formation of numerous nuclei, each accumulating protoplasm and becoming a new embryo, no sexual reproduction observed. [Ma.rine.]Rec., Eu.--F1c. 100,J. *P. aurata, Sweden (Gullmar Fjord); la,b, partially and fully ex.tended pseudopodia, X75 (*1377). Placopsilinella EARLAND, 1934, *653, p. 95 [*P. aurantiaca; OD]. Test tiny, commonly attached to other foraminifers; wall pseudochitinous, with some ferruginous cement; numerous rounded, plano-convex chambers, commonly arranged in double row, single row, or rarely with 3 chambers abreast, but without regularity in mode of in.crease or decrease, and without definite arrange.ment; no visible aperture nor evidence of com.munication between chambers. Rec., Atl.--F1c. 97,J. ?p_ aurantiaca (hypotype BMNH ZF3659),  [A single specimen found by EARLAND showed an apparent early spiral development of the chambers, and he there.fore considered the genus related to Placopsilina. How.ever, this was apparently an accidental arrangement, since none of the other specimens show any indication of coil.ing. The composition of the wall also seems to exclude this genus from the Placopsilinidae, as likewise absence of an aperture or opening between chambers, and the com.plete absence of regularity of chamber arrangement. Be? cause of the pseudochitinous wall, it is here placed in the Allogromiidae. It differs from Ceratestina and Hospitella in the absence of any visible aperture or stoloniferous in.tercameral necks.}  "
"Pleurophrys CLAPAREDE & LACH~tANN, 1859, "	"*345,  p. 454 [*P. sphaerica; OD (M)]. Test ovate, length, 30-72æ, of organic matter in which small foreign bodies and sand grains are cemented; aperture rounded; protoplasm wholly filling test; pseudopodia reticulose, granular. [Litlzocolla SCHULTZE, !874, regarded as a synonym of this genus (*762, p. 45), is now considered to be a heliozoan]. [Fresh water and marine.] Rec., Eu. --Fie. 100,3. *P. sphaerica, Ger.; 3a,b, side and basal views, approx. X300 (*1609).  "
"Rhynchogromia RHUMBLER, 1894, "	"*1568a, p. 590 [ ? R. variabilis; OD] [=Arrhyncliogromium RHUMBLER, 1913, *1572b, p. 344 (obj.) (nom. van.)]. Test elongate-ovate, 0.28-0.92 mm. in length; wall single-layered, containing numerous elongate or platelike secreted bodies and some foreign matter; living in tests of other foramini.fers; aperture at one end of test, second aperture rarely at opposite end; 1 to 3 globular nuclei. [Marine.] Rec., N.Sea-N.Atl.--F1c. 100,2. ?R. variabilis, N.Atl.; showing nucleus ( n), ectoplasm (e), foreign bodies ( b) and secreted platelets ( p), X220 (*1568a).  "
"Rhynchosaccus RHUMBLER, 1894, "	"*1568a, p. 595, 600 [*R. immigrans; OD] [=Arrhynchosaccum RHUMBLER, 1913, *1572b, p. 344 (obj.) ( nom. van.)]. Test ovate to elongate, length, 0.24-0.9 mm., rounded at ends, may be somewhat inflated toward apertural margin; wall thin, elastic, homo.geneous, thickened toward aperture and with inverted entosolenian tube; similar apertures may occur at both ends; parasitic in tests of larger foraminifers or may occur in empty tests; nucleus globular. [Marine.] Rec., N.Atl.-N.Sea.--F1c. 101,1,2. *R. immigrans, N.Atl. (1), France (2); 1, showing nucleus ( n) and foreign bodies ( b), X64 (*1568a); 2a,b, transv. and long. secs. of a pert. end showing entosolenian tube, X 200 (*1102).  "
"Saedeleeria 	LoEBLICH & TAPPAN, 1960, "	"*1175, p. 196 [*Gromia gemma PENARD, 1899, *1434, p. 86; OD]. Test ovate to pyriform, 0.2-0.6 mm. in length, with thick, white, double-layered wall, outer layer with cemented, granular siliceous in.clusions and inner, hyaline layer, homogeneous and thickened at aperture which is rounded, ter.minal, asymmetrical, and inverted; protoplasm yellowish, clear and colorless toward aperture where it extends as pseudopodia! trunk; single large spherical nucleus, to 50æ in diam., or, rarely, more than one; pseudopodia long, nu.merous, anastomosing. [Fresh water.] Rec., Eu. --Fie. 101,3,4. ?s. gemma (PENARD), Switz.   C182 Protista-Sarcodina  (Lake Leman); 3, exterior showing pseudopodia, ""1737, pl. 15 (nom . null.); Arshepheardel/11m approx. X 100 ; 4, sectioned specimen showing 2-RHUMBLER, 1913, ""1572b, p. 343 (obj.) (nom. layered wall, protoplasmic body, and inverted van.); Tinog11/lmia NYHOLM, 1954, 0 1376, p. 36 neck, enlarged (""1434). (type, T. !1yalina)]. Test elongate, 1.0-7.5 mm. Shepheardella SIDDALL, 1880, ""1737, p. 131 r?s. in length, tubular, straight to slightly arcuate, taeniformis; OD] [=Shepheardia SIDDALL, 1880, tapering at both ends, wall firm, flexible, trans. ??  .. .. . .... ~ :.. .. .._'  ""' ? s .?.?? ~ . . ? ? ""' ~\'  '"" ? ~ ? ~? .: ; ?..:-. . .. ? I  .. ?,,""""' ' .. ? ?.,:. '. :.  ,,  .. ~ ' .' ..  .. ? . ., ... ? ....,  ..? .? ..  '4 ? .,,  2a   Rhynchosoccus Rhynchosoccus  ?I  .. ;  ' . ~?.'  2b ~  \ .  I  -?   3 I  I  Saedeleeria   Saedeleeria Fie. IOI. Allogromiidae ; 1, 2, R/1ynchosaccus; 3, -!, Saedeleeria (p. Cl81-Cl82l.   parent, colorless, chitinoid; small aperture at each end; protoplasm yellowish, coarsely granular, with pronounced streaming, accumulating in small lump at each end and thinly coating exterior of test also; pseudopodia extending in outspread net.work from both apertures, rapid streaming within pseudopodia. [SIDDALL described the central oval body as a nucleus, but NYHOLM stated that the similar oval body in Tinogullmia was a vacuole and that the nucleus was visible only in sections.] [Marine.] Rec., Eu.--F1c. 102,J. ?s. taenifor.mis, Eng.; la, side view of slender test and long, branched pseudopodia, X 12; I b, aperture, X 170 (*1737).  "
"Thalamophaga RHUMBLER, 1911, "	"*1572a, p. 229 [*T. ramosa; SD LoEBLICH & TAPPAN, herein] [=Orbitophage SCHLUMBERGER, 1903, *1663, p. 276 (nom. neg.); Orbitoplzaga RHUMBLER, 1911, *1572a, p. 230 (type, 0. ramosa, =Thalamophaga ramosa RHUMBLER, 1911, SD, LoEBLICH & TAP.PAN, herein, obj.); Marsupophaga RHUMBLER, 1911, *1572a, p. 231 (type, M. ramosa, =Thala.moplzaga ramosa RHUMBLER, 1911, SD, LoEBLICH & TAPPAN, herein, obj.); T11bophaga RHUMBLER, 1911, *1572a, p. 232 (type, T. ramosa, =Tliala.mophaga ramosa RHuMBLER, 1911, SD, LoEBLICH & TAPPAN, herein, obj.); N11mmophaga RHUMB.LER, 1911, *1572a, p. 232 (type, N. ramosa, =Tlzalamophaga ramosa RHUMBLER, 1911, SD, LoEBLICH & TAPPAN, herein, obj.); Arthalamopha.gum RHUMBLER, 1913, *1572b, p. 440 (obj.)]. Attached forms which burrow in test of other foraminifers and consist of inflated, irregular chambers 2-8æ in diam., connected by stolon-like tubes which may branch and may resorb calcite of occupied test so that very thin chitinoid wall of ""parasite"" merely lines such burrows. [The names Orbitophaga, Nummophaga, Marsttpophaga, and Tubophaga, used by RHUMBLER to indicate burrowing foraminifers of Thalamophaga type found on different shells (e.g., Orbitolites, Num.mulites), were not accompanied by any named species.] Rec., Atl.--F1c. 97,6. *T. ramosa; en.larged (*1572a).--FIG. 97,7. T. incerta (RHUMBLER); X 80 (*1572a). Turriclavula RHUMBLER, 1911, *1572a, p. 85 [*T. interjecta; OD]. Test small, approx. 0.15 mm. in length; wall membranous or with small in.clusions; chambers few, uniserial, rectilinear; aper.ture terminal, ?slitlike. Rec., Atl.--FIG. 97,5. *T. i12terjecta, Cape Verde Is.; X320 (*1572a). Xenotheka EisENACK, 1938, *693b, p. 239 [*X. klinostoma; OD]. Test attached, consisting of globular chamber with long tubular neck; wall pseudochitinous; rounded aperture at end of tubu.lar neck. [This genus is similar to Ammolagena of the Tolypammininae, but has a pseudochitinous wall. Since the tests were from acid residues, an outer agglutinated layer may have been present but destroyed, and if so, the genus would be a synonym of Ammolagena. Lacking evidence of  such an agglutinated layer in Xenotheka it is here recognized as belonging to the Allogromiidae.] Sil., Eu.--FIG. 97,8. ?x. klinostoma, E. Prussia [Poland]; paratype, X60 (*700).        f?'~?  !  lb  lo     C184 Protista-Sarcodina  "
"DE FouN & PERIER, 1875, "	"?727Aa, p. 52 (type,  A. aggltttinans, =?Ammodisrns lindaMi CARPEN.TER & JEFFREYS, 1870, *279, p. 159; Astrodiscus SCHULZE, 1875, *1697, p. 113 (type, A. arenace.tts, non Astrodiscus LUDWIG, 1866); Haeckelina BESSELS, 1875, *136, p. 265 (type, H. gigantea); Astrorhiza EIMER & FICKERT, 1899, *692, p. 594 (type, A. limnicola SANDAHL, 1858, *1625, p. 301, SD LoEBLICH & TAPPAN, herein, obj.); Arastrorlii? Ztlm RHUMBLER, 1913, *1572b, p. 345 (obj.) ( nom. van-) J-Test free, flattened, consisting of hollow central disc from which numerous tubular arms radiate; wall agglutinated of poorly ce? mented mud and sand, with little selectivity shown as to size or type of material used; in.terior of wall with pseudochitinous lining; aper.tures at ends of tubular arms. [Differs from As.trammina RHUMBLER, 1931, in the discoid rather than inflated central chamber and in being com.pletely encircled by radial arms.] M.Ord.-Rec., cosmop.--F1c. 103,J. *A. limnicola, Rec., N. Sea(Norway); X8 (*2117).   "
"Astrammina RHUMBLER in WIESNER, 1931, "	"2063,  p. 77 [*A. rara; OD (M)] f=Armorella HERON.ALLEN & EARLAND, 1932, *914d, p. 256 (type,    A . spliaerica)l. Test free, spherical, consisting of single chamber with few Hliating tubular exten.sions; wall agglutinated, incorporating ""ind and sponge spicules with much cement ; apertures at open ends of tubular extensions. [Differs from Astrorhiza in having a globular instead of dis.coi<l center and only a few irregularl y placed tubu.lar arms.] Rec., Atl.--F1c. 103,2. ?.?!. rara, Antarctic; Xl4 (*2063).--Fic. 103 ,3,4. A . sphaerica (HERON-ALLEN & EARLAND), S.Atl.(S. Georgia Is.) ; 3, lectotype, here designated and re.figure<l (?914<l, pl. 2, fig. 5), X48; 4, coarse.texture<l paratype refigured (*914<l , pl. 2, fig. 10),   length, with numcrnus (to 15) ven? elongate,  tubular, irregubrly bifurcating and tapering arms,  to 0.8 111m. max. diam., but lacking distinct central  chamber; wall with pseudoc hitinous lining an<l  outer very fine-grained agglutinated la yer; aper. tures at open ends of tapering arm s. Rec., Eu.-.  p. 61 [*R . abyssorum; OD] [=Rhabdammina  "
"M. SARS, 1869, "	"*1629, p. 248 (nom. n11d.) ; Rhab.dammina M. SARS in CARPENTER, 1868, *273, p. 171, 172 (nonz. nud.); Rhabdammina EIMER & FICKERT, 1899, ""692, p. 595 (type, R. linearis BRADY, 1879, ""I 96a, p. 37, SD LoEBLICH & TAP.PAN, herein) ; Arrhabdammum RHUMBLER , 1913,   (p. Cl84-Cl86).   C186 Protista-Sarcodina  *1572b, p. 351 (obj.) (nom. van.); Oculosiphon AvNIMELECH, 1952, *63, p. 65 (type, Rlzabdam.mina linearis BRADY, 1879)]. Test free, large, to 20 mm. in length, with elongate tubular arms radiating from relatively small central chamber; wall agglutinated; apertures at open ends of tubular arms. U.Ord.-Rec., cosmop.--F1c. 103,5. *R. abyssorum, Rec., N.Atl., XlO (0 2117).-.F1c. 103,6. R. linearis BRADY, Rec., N.Atl., Xll (*2117).   "
"Vanhoellenella RHUMBLER, 1905, "	"? 1570, p. I 05 [*V. gaussi; OD] [=Arvanlzoetfenttm RHUMBLER, 1913, *1572b, p. 345 (obj.) (nom. van.)]. Test free, large, 0.4-2.6 mm. in length, discoidal to fusiform, with angular framework consisting of hollow agglutinated tube, with opposite pseudo.chitinous, nonagglutinated sides; apertures at ends of short tubular extensions at angles of test. Rec., Antarctic-Ind.0.-Norway. --Fie. 104,2,3. ?v. gaussi, Antarctic ( 2), Norway, Oslo Fjord (3); 2a,b, typical discoidal form showing dear chitinoid sides and agglutinated framework, X40 (*1570); Ja,b, side and edge views of elongate form, pseu.dopodia protruding from apertures, X40 (*338).  "
"Marsipella NoRMAN, 1878, "	"0 1363, p. 281 [""M. elongata; OD (M)] [=Armarsipellum RHUMBLER, 1913, 0 1572b, p. 351 (obj.) (nom. van.)]. Test free, consisting of single undivided tubular, cyl.   indrical, or elongate-fusiform chamber, which may be slightly twisted; wall of agglutinated sand, sponge spicules, or tests of other foraminifers; apertures at open ends of tube. U.Ord.-Rec., cosmop.--FIG. 105,J. *M. elongata, Rec., N.Atl., Xl4 (*2117).  Rodiculo  2o Vonhoeffenello  "
"GiraJiarella CRESPIN, J958, "	"*394, p. 56 (*G. angu.fata; OD). Similar to Hippocrepina but with tri.angular to quadrate section; wall finely agglu.tinated with siliceous cement. Perm., W.Australia. --FIG. 106,J. *G. angulata; Ja,b, side and top views of holotype, X40, Xi04 (*394).  "
"Hyperammina BRADY, 1878, "	"*195, p. 433 [*H. elongata; OD (M) J [ =Rhabdopleura G. M. DAw.soN, 1870, *565, p. 175 (type, R. abyssorum) (non ALLMAN, 1869; nee DEKONINCK, 1881); Hyperam.mina EIMER & FICKERT, 1899, *692, p. 603 (type,   "
"Jaculella 	BRADY, 1879, "	"*196a, p. 35 [*/. acuta; OD (M)) [=Arjaculum RHUMBLER, 1913, *1572b,  p. 352 (obj.) (nom. van.)]. Test free, elongate, conical, nonseptate tube; wall coarsely arenaceous, thick, firmly cemented, coarsely finished both on exterior and interior; rounded aperture at larger, open end of tube. [The genus has been stated to have a chitinoid interior lining (*486, p. 85), but this is not evident in BRADY'S type specimens. It has also been stated to be smoothly finished inside (*762, p. 75), but specimens of the type-species are equally roughened inside and out. /aculella differs from Protohotellina in being conical rather than cylindrical.] L./11r.-Rec., cosmop.--FIG.  106,5,6. */. acuta; Rec., S.Atl.(off S.Am.); 5, lec.totype (here designated and redrawn from BRADY, *196a, pl. 3, fig. 12, BMNH-ZF 1602), XIO; 6, apert. view of paratype (BRADY, *200, pl. 22, fig. 18, BMNH-ZF 1603), X22 (*2117).   "
"Protobotellina HERON-ALLEN & EARLAND, 1929, "	"*914b, p. 326 [*P. cylindrica; OD]. Test free, tubular, irregularly cylindrical, nonseptate, open only at one end; wall agglutinated, nonlabyrinthic, composed of broken sponge spicules and fine sand with little visible cement, exterior smoothly fin.ished, inner surface rough, with numerous irre.gular cavities and projecting sponge spicules; aper.ture terminal, irregular in shape, with constricting grains and sponge spicules partially closing open end of tube. Rec., Antarctic.--FIG. 106,7-9. *P. cylindrica, S.Atl.; 7, side view of lectotype (here designated and redrawn), XS; 8, sectioned para.type (redrawn, *914b, pl. 2, figs. 10, II), X5; 9, top view of paratype (redrawn, *914b, pl. 2, fig.12) XIO (*2117).  [Protobotellina differs from Botellina in having a non.labyrinthic interior, in being cylindrical, and in lacking an inflated bulbous base. It differs from faculella in its cylindrical instead of conical, flaring form. It is very like Bathysiphon except for being closed at one end. Sectioned specimens contained a black ""protoplasm"" reminiscent of the waste-filled discarded sections of Bathysiphon, but the closed base of agglutinated material and single aperture serve to separate Protobotellina from Bathysiphon.]   "
"Pseudohyperammina CRESPIN, 1958, "	"*394, p. 55 [*P. radiostoma; OD]. Test similar to Hippo.crepina but with less rapid flaring and subovate outline; wall thin, finely agglutinated; aperture ovate, with thickened border and radially ar.ranged elongate grooves extending outward from apertural opening. Perm., W.Australia.--FIG. 106,4. *P. radiostoma; X45 (*394). Saccorhiza EIMER & FICKERT, 1899, *692, p. 670 [*Hyperammina ramosa BRADY, 1879, *196a, p. 33; OD (M)). Test free, with subglobular pro.loculus and long dichotomously branching tubular undivided chamber of nearly uniform diameter throughout; wall thick, agglutinated, consisting of medium to fine sand grains, commonly with abundant sponge spicules fastened almost at right angles to outer surface, giving very spinose, bristling appearance; apertures formed by open ends of tubes. [Saccorhiza differs from Hyperam.mina in its branching character. J. L.Miss.-Rec., Atl.-Pac.--F1c. 106,12. *S. ramosa (BRADY), Rec., N.Pac.; lectotype (here designated and re.drawn, BMNH-ZF 3602), X22 (*2117).  "
